student_id,first_name,last_name,email,age,year_level,course,section,gpa,units_enrolled,tuition_fee,scholarship,region,contact_no,student_status
2021-06803,Ruth,Jacobs,ruth.jacobs@school.edu.ph,22.0,1st Year,BS Psychology,A,2.51,21.0,39646.46,No,Region IV-A,09709692055,Regular
2021-00214,Kathryn,Ortega,kathryn.ortega@school.edu.ph,25.0,1st Year,BS Accountancy,D,1.73,18.0,27903.66,No,CAR,09854923795,Regular
2021-08399,Samuel,Mclean,samuel.mclean@school.edu.ph,22.0,4th Year,BS Psychology,B,3.16,18.0,39388.21,No,Region I,09200846616,Regular
2021-03845,Sherry,Flynn,sherry.flynn@school.edu.ph,23.0,First Year,BS Nursing,B,2.19,21.0,45819.25,No,Region V,09348429506,Irregular
2021-05281,Jeremiah,Montgomery,jeremiah.montgomery@school.edu.ph,18.0,4th Year,BS Psychology,B,3.19,21.0,50234.54,No,CAR,09391923807,REGULAR
2021-04261,Joshua,Stanton,JOSHUA.STANTON@SCHOOL.EDU.PH,20.0,first year,BS Tourism,B,1.3,21.0,32139.86,No,Region VIII,09208729236,Regular
2021-00093,Sharon,Barnett,sharon.barnett@school.edu.ph,21.0,3rd Year,BS Nursing,A,1.12,18.0,34683.8,No,Region IV-A,09113545885,IRREG
2021-00155,Katie,Weaver,katie.weaver@school.edu.ph,18.0,4th Year,BS Computer Science,B,2.52,18.0,41771.1,No,NCR,09157431447,Regular
2021-04229,Brenda,Holland,brenda.holland@school.edu.ph,20.0,2,BS Business Administration,B,2.26,21.0,42685.55,No,Region IX,09764304695,Reg
2021-02903,Robert,Barr,robert.barr@school.edu.ph,20.0,1st Year,BS Accountancy,A,2.97,18.0,27727.84,No,BARMM,09309918689,Regular
2021-09889,Diana,Smith,diana.smith@school.edu.ph,24.0,1st Year,BS Psychology,D,2.38,15.0,24414.76,Yes,CAR,09409566885,Regular
2021-00115,Richard,Schneider,richard.schneider@school.edu.ph,16.0,3rd Year,BS Tourism,A,1.45,18.0,43062.2,No,NCR,09448965783,regular
